FECHA_OP,CONCEPTO,F_ VALOR,IMPORTE,SALDO
02/01/2015,TRASPASO,02/01/2015,-400,"48346,34"
02/01/2015,TRASPASO,02/01/2015,-900,"47446,34"
02/01/2015,INTERESES,31/12/2014,"4,14","47450,48"
02/01/2015,REINTEGRO INSTALACION,02/01/2015,-1360,"46090,48"
05/01/2015,TRANSF CTA DE:KOVANEN JUKKA TAP,05/01/2015,415,"46505,48"
07/01/2015,BONIFICACION,31/12/2014,"1,26","46506,74"
12/01/2015,R/ TELEFONICA DE ESPANA S.A.,12/01/2015,"-48,58","46458,16"
12/01/2015,CUOTA PRESTAMO,10/01/2015,"-448,66","46009,5"
13/01/2015,R/ RESIDENCIAS DE ESTUDIANTES,13/01/2015,"-29,65","45979,85"
15/01/2015,R/ AIGUES DE BARCELONA EMGCIA,15/01/2015,"-56,78","45923,07"
15/01/2015,TRANSFERENCIA A: Cdad prop Sant Pau 30,15/01/2015,"-799,95","45123,12"
22/01/2015,R/ Gas Natural Servicios S.A,22/01/2015,"-343,39","44779,73"
23/01/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/01/2015,"1114,97","45894,7"
02/02/2015,TRANSFERENCIA A: JUKKA KOVANEN,02/02/2015,-700,"45194,7"
02/02/2015,TRASPASO,02/02/2015,-400,"44794,7"
03/02/2015,TRANSF CTA DE:MADAME LABAT ALIC,03/02/2015,"1004,33","45799,03"
10/02/2015,R/ TELEFONICA DE ESPANA S.A.,10/02/2015,"-48,82","45750,21"
10/02/2015,CUOTA PRESTAMO,10/02/2015,"-437,45","45312,76"
11/02/2015,R/ AJUNTAMENT DE BARCELONA,11/02/2015,"-71,99","45240,77"
20/02/2015,R/ RESIDENCIAS DE ESTUDIANTES,20/02/2015,"-21,73","45219,04"
25/02/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/02/2015,"1114,97","46334,01"
25/02/2015,TRANSFERENCIA A: Residencia Lavoisier,25/02/2015,"-1863,4","44470,61"
27/02/2015,R/ AIGUES DE BARCELONA EMGCIA,27/02/2015,"-53,97","44416,64"
03/03/2015,TRASPASO,03/03/2015,-400,"44016,64"
05/03/2015,TRANSF CTA DE:MADAME LABAT ALIC,05/03/2015,415,"44431,64"
10/03/2015,R/ TELEFONICA DE ESPANA S.A.,10/03/2015,"-48,53","44383,11"
10/03/2015,CUOTA PRESTAMO,10/03/2015,"-437,45","43945,66"
11/03/2015,R/ RESIDENCIAS DE ESTUDIANTES,11/03/2015,"-29,65","43916,01"
23/03/2015,TRASPASO A: Barcelona en Comu,23/03/2015,-1000,"42916,01"
25/03/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/03/2015,"1114,97","44030,98"
30/03/2015,R/ Gas Natural Servicios S.A,30/03/2015,"-487,8","43543,18"
31/03/2015,TRANSFERENCIA A: Jose Maria Romero,31/03/2015,-2000,"41543,18"
01/04/2015,TRASPASO,01/04/2015,-400,"41143,18"
02/04/2015,TRANSF CTA DE:MOLINA ROBLES JOS,02/04/2015,765,"41908,18"
07/04/2015,TRANSF CTA DE:MADAME LABAT ALIC,07/04/2015,415,"42323,18"
10/04/2015,R/ TELEFONICA DE ESPANA S.A.,10/04/2015,"-48,53","42274,65"
10/04/2015,CUOTA PRESTAMO,10/04/2015,"-437,45","41837,2"
13/04/2015,R/ RESIDENCIAS DE ESTUDIANTES,13/04/2015,"-59,29","41777,91"
24/04/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,24/04/2015,"1114,97","42892,88"
30/04/2015,R/ AIGUES DE BARCELONA EMGCIA,30/04/2015,"-56,71","42836,17"
04/05/2015,R/ AJUNTAMENT DE BARCELONA,04/05/2015,"-71,99","42764,18"
04/05/2015,TRASPASO,04/05/2015,-400,"42364,18"
06/05/2015,TRANSFERENCIA A: JOSE LUIS MOLINA,07/05/2015,-350,"42014,18"
08/05/2015,R/ RESIDENCIAS DE ESTUDIANTES,08/05/2015,"-59,29","41954,89"
08/05/2015,TRANSF CTA DE:MADAME LABAT ALIC,08/05/2015,415,"42369,89"
11/05/2015,R/ TELEFONICA DE ESPANA S.A.,11/05/2015,"-50,03","42319,86"
11/05/2015,CUOTA PRESTAMO,10/05/2015,"-437,45","41882,41"
25/05/2015,R/ Gas Natural Servicios S.A,25/05/2015,"-179,92","41702,49"
25/05/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/05/2015,"1114,97","42817,46"
04/06/2015,TRASPASO,04/06/2015,-400,"42417,46"
08/06/2015,TRANSF CTA DE:MADAME LABAT ALIC,08/06/2015,230,"42647,46"
09/06/2015,R/ RESIDENCIAS DE ESTUDIANTES,09/06/2015,"-39,51","42607,95"
10/06/2015,R/ TELEFONICA DE ESPANA S.A.,10/06/2015,"-51,04","42556,91"
10/06/2015,CUOTA PRESTAMO,10/06/2015,"-437,45","42119,46"
15/06/2015,"R/ AQUALOGY SOLUTIONS, S.A. (MUSA)",15/06/2015,"-17,75","42101,71"
24/06/2015,TRANSFERENCIA A: David Oxaran,24/06/2015,-700,"41401,71"
25/06/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/06/2015,"1114,97","42516,68"
25/06/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/06/2015,"1114,97","43631,65"
29/06/2015,"TRANSFERENCIA A: TOUBLANC, ALEXIS",29/06/2015,-350,"43281,65"
01/07/2015,TRASPASO,01/07/2015,-400,"42881,65"
08/07/2015,R/ AIGUES DE BARCELONA EMGCIA,08/07/2015,"-68,86","42812,79"
